Source,Target,Result,Prompt
R C8 Radikulopati,R Handbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R C8 Radikulopati causes discomfort related to R Handbesvär.

### Response:
"
R S2 Radikulopati,R Adduktortendalgi,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R S2 Radikulopati causes discomfort related to R Adduktortendalgi.

### Response:
"
L C3 Radikulopati,L Centrala bröstbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L C3 Radikulopati causes discomfort related to L Centrala bröstbesvär.

### Response:
"
L L2 Radikulopati,Lumbago,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L L2 Radikulopati causes discomfort related to Lumbago.

### Response:
"
DLS L5-S1,L Lumbago,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where DLS L5-S1 causes discomfort related to L Lumbago.

### Response:
"
R T3 Radikulopati,L Achillesbesvär,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R T3 Radikulopati causes discomfort related to L Achillesbesvär.

### Response:
"
L L5 Radikulopati,L Knäbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L L5 Radikulopati causes discomfort related to L Knäbesvär.

### Response:
"
R S1 Radikulopati,R Tårbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R S1 Radikulopati causes discomfort related to R Tårbesvär.

### Response:
"
R Bröstbesvär,Hälbesvär,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R Bröstbesvär causes discomfort related to Hälbesvär.

### Response:
"
L Pannhuvudvärk,R Fotbesvär,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L Pannhuvudvärk causes discomfort related to R Fotbesvär.

### Response:
"
R C3 Radikulopati,Svalgbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R C3 Radikulopati causes discomfort related to Svalgbesvär.

### Response:
"
