Source1,Collider,Source2
L L5 Radikulopati,L Knäbesvär,L S1 Radikulopati
L T12 Radikulopati,L Nedre bukbesvär,L L1 Radikulopati
R T9 Radikulopati,Nedre bukbesvär,L T12 Radikulopati
R T3 Radikulopati,Bröstryggsbesvär,R T9 Radikulopati
L L3 Radikulopati,L Benbesvär,L L4 Radikulopati
R T10 Radikulopati,Nedre bukbesvär,R T12 Radikulopati
R C5 Radikulopati,R Skulderbesvär,R C8 Radikulopati
R T10 Radikulopati,Nedre bukbesvär,L L2 Radikulopati
L C2 Radikulopati,Nackbesvär,L C3 Radikulopati
R C6 Radikulopati,Nackbesvär,R C7 Radikulopati
R L5 Radikulopati,R Benbesvär,R S1 Radikulopati
R T1 Radikulopati,Bröstryggsbesvär,R T10 Radikulopati
R T7 Radikulopati,Bröstryggsbesvär,L T8 Radikulopati
R L1 Radikulopati,Centrala Ljumskbesvär,L L2 Radikulopati
R T4 Radikulopati,Torakal Dysfunktion,R T6 Radikulopati
L T9 Radikulopati,Nedre bukbesvär,R T12 Radikulopati
R T11 Radikulopati,Nedre bukbesvär,R T12 Radikulopati
R C7 Radikulopati,R Fingerbesvär,R C8 Radikulopati
R L4 Radikulopati,R Lumbago,R L5 Radikulopati
L L3 Radikulopati,Lumbago,L L5 Radikulopati
R L2 Radikulopati,Ryggsbesvär,R L3 Radikulopati
L T3 Radikulopati,Bröstbesvär,R T3 Radikulopati
R T7 Radikulopati,Övre bukbesvär,L T8 Radikulopati
R C2 Radikulopati,Nackbesvär,R C5 Radikulopati
R L1 Radikulopati,R Adduktortendalgi,R S2 Radikulopati
R T5 Radikulopati,Torakal Dysfunktion,R T6 Radikulopati
R T2 Radikulopati,Bröstryggsbesvär,L T4 Radikulopati
L T6 Radikulopati,Laterala bukbesvär,L T9 Radikulopati
L C4 Radikulopati,L Skulderbesvär,L C8 Radikulopati
L L1 Radikulopati,L Adduktortendalgi,L S2 Radikulopati
L C2 Radikulopati,Nackbesvär,R C5 Radikulopati
R T5 Radikulopati,Bröstryggsbesvär,R T6 Radikulopati
L T11 Radikulopati,L Nedre bukbesvär,L L1 Radikulopati
L C3 Radikulopati,Nackbesvär,R C7 Radikulopati
L T6 Radikulopati,Bröstryggsbesvär,R T7 Radikulopati
L T10 Radikulopati,L Nedre bukbesvär,L T11 Radikulopati
L L5 Radikulopati,L Benbesvär,L S1 Radikulopati
R C6 Radikulopati,R Armvecksbesvär,R T1 Radikulopati
R T4 Radikulopati,Torakal Dysfunktion,L T7 Radikulopati
R C4 Radikulopati,R Skulderbesvär,R C8 Radikulopati
R C6 Radikulopati,R Handbesvär,R C8 Radikulopati
R T9 Radikulopati,Nedre bukbesvär,R L2 Radikulopati
DLS C2-C3,R C3 Radikulopati,Kraniocervikal ledskada
R T4 Radikulopati,Bröstryggsbesvär,R T5 Radikulopati
L C2 Radikulopati,Nackbesvär,R C4 Radikulopati
R C5 Radikulopati,Nackbesvär,R C6 Radikulopati
R C6 Radikulopati,R Armbesvär,R T1 Radikulopati
R L1 Radikulopati,Centrala Ljumskbesvär,R L2 Radikulopati
L T9 Radikulopati,Laterala bukbesvär,L T10 Radikulopati
R C3 Radikulopati,Nackbesvär,R C7 Radikulopati
L L4 Radikulopati,L Höftkamsbesvär,L L5 Radikulopati
L C4 Radikulopati,Nackbesvär,R C6 Radikulopati
R C7 Radikulopati,R Skulderbesvär,R C8 Radikulopati
R T3 Radikulopati,Bröstryggsbesvär,R T7 Radikulopati
L C2 Radikulopati,Nackbesvär,L C6 Radikulopati
L T3 Radikulopati,Torakal Dysfunktion,R T3 Radikulopati
R L3 Radikulopati,Ryggsbesvär,R S1 Radikulopati
L C5 Radikulopati,Nackbesvär,L C6 Radikulopati
R C7 Radikulopati,R Under armsbesvär,R C8 Radikulopati
L T4 Radikulopati,Torakal Dysfunktion,R T5 Radikulopati
R T3 Radikulopati,Bröstryggsbesvär,L T7 Radikulopati
L T7 Radikulopati,Laterala bukbesvär,L T12 Radikulopati
R S1 Radikulopati,R Ischias,R S2 Radikulopati
L T12 Radikulopati,Nedre bukbesvär,R T12 Radikulopati
L T4 Radikulopati,Torakal Dysfunktion,L T7 Radikulopati
L C4 Radikulopati,L Skulderbesvär,L C6 Radikulopati
R L3 Radikulopati,R Lårbesvär,R L5 Radikulopati
L T6 Radikulopati,Bröstryggsbesvär,R T6 Radikulopati
R C4 Radikulopati,R Axelbesvär,R C7 Radikulopati
R T1 Radikulopati,Bröstryggsbesvär,L T4 Radikulopati
L T9 Radikulopati,Nedre bukbesvär,L L1 Radikulopati
L T8 Radikulopati,Laterala bukbesvär,L T10 Radikulopati
R T3 Radikulopati,Torakal Dysfunktion,R T6 Radikulopati
L T8 Radikulopati,Laterala bukbesvär,L T12 Radikulopati
L T12 Radikulopati,Nedre bukbesvär,R L2 Radikulopati
L T4 Radikulopati,Bröstryggsbesvär,R T5 Radikulopati
R T2 Radikulopati,Bröstryggsbesvär,R T9 Radikulopati
R C6 Radikulopati,R Armbågsbesvär,R C8 Radikulopati
R L3 Radikulopati,R Lårbesvär,R L4 Radikulopati
R T5 Radikulopati,Bröstryggsbesvär,L T6 Radikulopati
R C7 Radikulopati,R Armvecksbesvär,R C8 Radikulopati
L T7 Radikulopati,Bröstryggsbesvär,R T7 Radikulopati
R T3 Radikulopati,Bröstryggsbesvär,L T6 Radikulopati
L T11 Radikulopati,Nedre bukbesvär,R L2 Radikulopati
L L3 Radikulopati,L Benbesvär,L L5 Radikulopati
R C3 Radikulopati,R Nackbesvär,R C6 Radikulopati
R L4 Radikulopati,Ryggsbesvär,R L5 Radikulopati
R C3 Radikulopati,Nackbesvär,R C5 Radikulopati
L T6 Radikulopati,Övre bukbesvär,R T8 Radikulopati
L T4 Radikulopati,Bröstbesvär,R T4 Radikulopati
R T5 Radikulopati,Bröstryggsbesvär,R T8 Radikulopati
R T4 Radikulopati,Torakal Dysfunktion,R T5 Radikulopati
L L4 Radikulopati,L Knäbesvär,L L5 Radikulopati
L C5 Radikulopati,L Skulderbesvär,L C6 Radikulopati
L L2 Radikulopati,L Lumbago,L L4 Radikulopati
L L2 Radikulopati,L Höftbesvär,L L3 Radikulopati
R T1 Radikulopati,Bröstryggsbesvär,R T2 Radikulopati
L C2 Radikulopati,Munbesvär,R C3 Radikulopati
L T3 Radikulopati,Torakal Dysfunktion,R T6 Radikulopati
R T1 Radikulopati,Bröstryggsbesvär,L T3 Radikulopati
R L4 Radikulopati,R Tibiaperialgi,R L5 Radikulopati
R L4 Radikulopati,R Höftkamsbesvär,R L5 Radikulopati
L T9 Radikulopati,Nedre bukbesvär,L T12 Radikulopati
L C2 Radikulopati,Nackbesvär,R C3 Radikulopati
R S1 Radikulopati,R Adduktortendalgi,R S2 Radikulopati
R L1 Radikulopati,R Ljumskbesvär,R L2 Radikulopati
L C6 Radikulopati,Nackbesvär,R C7 Radikulopati
R L4 Radikulopati,R Knäbesvär,R L5 Radikulopati
R T5 Radikulopati,Bröstryggsbesvär,R T9 Radikulopati
L L3 Radikulopati,L Benbesvär,L S1 Radikulopati
R C2 Radikulopati,Nackbesvär,L C7 Radikulopati
L S1 Radikulopati,Hälbesvär,R S1 Radikulopati
R T6 Radikulopati,Övre bukbesvär,L T7 Radikulopati
R T3 Radikulopati,Torakal Dysfunktion,L T4 Radikulopati
L C3 Radikulopati,Bakhuvudvärk,R C3 Radikulopati
R L5 Radikulopati,R Knäbesvär,R S1 Radikulopati
R L5 Radikulopati,R Ischias,R S1 Radikulopati
L L3 Radikulopati,Lumbago,L L4 Radikulopati
L T10 Radikulopati,Nedre bukbesvär,R T10 Radikulopati
L T11 Radikulopati,Laterala bukbesvär,L L2 Radikulopati
L T9 Radikulopati,L Nedre bukbesvär,L T11 Radikulopati
R T9 Radikulopati,Nedre bukbesvär,R T11 Radikulopati
L T11 Radikulopati,Laterala bukbesvär,L T12 Radikulopati
R L5 Radikulopati,Ryggsbesvär,R S1 Radikulopati
R T4 Radikulopati,Torakal Dysfunktion,R T7 Radikulopati
R C5 Radikulopati,R Nackbesvär,R C7 Radikulopati
R T2 Radikulopati,Bröstryggsbesvär,L T6 Radikulopati
L C2 Radikulopati,Huvudvärk,R C2 Radikulopati
L T7 Radikulopati,Laterala bukbesvär,L L2 Radikulopati
L C2 Radikulopati,Svalgbesvär,L C3 Radikulopati
L L5 Radikulopati,L Ischias,L S2 Radikulopati
L T4 Radikulopati,Bröstryggsbesvär,R T6 Radikulopati
R C4 Radikulopati,R Axelbesvär,R C6 Radikulopati
R L2 Radikulopati,Ryggsbesvär,R S1 Radikulopati
R C3 Radikulopati,R Nyckelbensbesvär,R C4 Radikulopati
L L2 Radikulopati,Lumbago,L L4 Radikulopati
L T3 Radikulopati,Bröstryggsbesvär,R T3 Radikulopati
L T7 Radikulopati,Bukbesvär,L T11 Radikulopati
R T3 Radikulopati,Bröstryggsbesvär,R T5 Radikulopati
L C6 Radikulopati,L Nackbesvär,L C7 Radikulopati
L L4 Radikulopati,L PFS,L L5 Radikulopati
L L4 Radikulopati,L Lumbago,L L5 Radikulopati
R L4 Radikulopati,R Knäbesvär,R S1 Radikulopati
R T3 Radikulopati,Bröstryggsbesvär,R T10 Radikulopati
R T1 Radikulopati,Bröstryggsbesvär,R T3 Radikulopati
R C7 Radikulopati,R Armbesvär,R T1 Radikulopati
L T9 Radikulopati,Nedre bukbesvär,L T10 Radikulopati
L T4 Radikulopati,Bröstryggsbesvär,L T6 Radikulopati
L T3 Radikulopati,Bröstryggsbesvär,L T8 Radikulopati
R T10 Radikulopati,Nedre bukbesvär,R T11 Radikulopati
L L3 Radikulopati,L Lårbesvär,L L4 Radikulopati
R C2 Radikulopati,Nackbesvär,R C4 Radikulopati
R T11 Radikulopati,Nedre bukbesvär,L T12 Radikulopati
R T4 Radikulopati,Bröstryggsbesvär,R T7 Radikulopati
R C3 Radikulopati,R Nackbesvär,R C7 Radikulopati
R T10 Radikulopati,Nedre bukbesvär,L L1 Radikulopati
R C2 Radikulopati,Nackbesvär,L C3 Radikulopati
R C3 Radikulopati,Nackbesvär,R C6 Radikulopati
R T3 Radikulopati,Torakal Dysfunktion,L T6 Radikulopati
L T11 Radikulopati,Nedre bukbesvär,L L1 Radikulopati
L T9 Radikulopati,L Nedre bukbesvär,L L2 Radikulopati
L C2 Radikulopati,Nackbesvär,R C6 Radikulopati
L C3 Radikulopati,Munbesvär,R C3 Radikulopati
L T7 Radikulopati,Laterala bukbesvär,L L1 Radikulopati
R L2 Radikulopati,Ryggsbesvär,R L5 Radikulopati
R T3 Radikulopati,R Bröstbesvär,R T5 Radikulopati
L T4 Radikulopati,Bröstryggsbesvär,R T8 Radikulopati
R C2 Radikulopati,Pannhuvudvärk,L C3 Radikulopati
R C2 Radikulopati,R Käkbesvär,R C3 Radikulopati
R T1 Radikulopati,Bröstryggsbesvär,R T5 Radikulopati
L T4 Radikulopati,Bröstryggsbesvär,R T10 Radikulopati
R T4 Radikulopati,Bröstryggsbesvär,R T10 Radikulopati
L L1 Radikulopati,Nedre bukbesvär,R L2 Radikulopati
R C6 Radikulopati,R Armvecksbesvär,R C8 Radikulopati
L L1 Radikulopati,L Adduktortendalgi,L L2 Radikulopati
L C3 Radikulopati,Nackbesvär,R C3 Radikulopati
L C4 Radikulopati,L Axelbesvär,L C6 Radikulopati
R C4 Radikulopati,R Axel impingement,R C6 Radikulopati
L C2 Radikulopati,Munbesvär,R C2 Radikulopati
L C5 Radikulopati,Interskapulära besvär,L C6 Radikulopati
R T9 Radikulopati,Nedre bukbesvär,R T12 Radikulopati
L C5 Radikulopati,Nackbesvär,L C7 Radikulopati
L T7 Radikulopati,Bukbesvär,R L1 Radikulopati
R C4 Radikulopati,R Främre Axelbesvär,R C6 Radikulopati
L T10 Radikulopati,L Nedre bukbesvär,L L2 Radikulopati
L C6 Radikulopati,Interskapulära besvär,R C6 Radikulopati
L T10 Radikulopati,Nedre bukbesvär,L L1 Radikulopati
R C4 Radikulopati,R Nackbesvär,R C6 Radikulopati
L T11 Radikulopati,Nedre bukbesvär,R T11 Radikulopati
L L3 Radikulopati,L Lårbesvär,L S1 Radikulopati
R C3 Radikulopati,R Nackbesvär,R C4 Radikulopati
R C2 Radikulopati,R Nackbesvär,R C5 Radikulopati
R L5 Radikulopati,R Skinkbesvär,R S1 Radikulopati
L L2 Radikulopati,L Adduktortendalgi,L S2 Radikulopati
R T11 Radikulopati,Nedre bukbesvär,L L1 Radikulopati
R T5 Radikulopati,Bröstryggsbesvär,L T8 Radikulopati
L T7 Radikulopati,Bröstryggsbesvär,R T10 Radikulopati
L T3 Radikulopati,Torakal Dysfunktion,R T4 Radikulopati
DLS C3-C4,R C4 Radikulopati,Kraniocervikal ledskada
L L4 Radikulopati,Lumbago,L S1 Radikulopati
R C6 Radikulopati,R Under armsbesvär,R C8 Radikulopati
R C2 Radikulopati,Pannhuvudvärk,R C3 Radikulopati
L L4 Radikulopati,L Lumbago,L S1 Radikulopati
L T8 Radikulopati,Laterala bukbesvär,L L1 Radikulopati
L T8 Radikulopati,Laterala bukbesvär,L T9 Radikulopati
R T7 Radikulopati,Bröstryggsbesvär,R T8 Radikulopati
L C5 Radikulopati,L Skulderbesvär,L C8 Radikulopati
L L3 Radikulopati,L Lumbago,L L4 Radikulopati
R T10 Radikulopati,Nedre bukbesvär,R L2 Radikulopati
L T6 Radikulopati,Bröstryggsbesvär,L T8 Radikulopati
R L3 Radikulopati,R Lårbesvär,R S1 Radikulopati
R T6 Radikulopati,Bröstryggsbesvär,R T9 Radikulopati
R T3 Radikulopati,Bröstbesvär,R T4 Radikulopati
L C5 Radikulopati,Nackbesvär,R C7 Radikulopati
R C4 Radikulopati,Nackbesvär,R C6 Radikulopati
R L1 Radikulopati,R Adduktortendalgi,R S1 Radikulopati
R C5 Radikulopati,R Axelbesvär,R C6 Radikulopati
L T7 Radikulopati,Torakal Dysfunktion,R T7 Radikulopati
L T3 Radikulopati,Bröstryggsbesvär,R T7 Radikulopati
L L5 Radikulopati,L Lumbago,L S1 Radikulopati
R T1 Radikulopati,Bröstryggsbesvär,R T8 Radikulopati
R L4 Radikulopati,R Lårbesvär,R S1 Radikulopati
R C5 Radikulopati,R Axelbesvär,R C7 Radikulopati
R T2 Radikulopati,Bröstryggsbesvär,R T10 Radikulopati
R L4 Radikulopati,R Lårbesvär,R L5 Radikulopati
L T6 Radikulopati,Laterala bukbesvär,L L2 Radikulopati
R T4 Radikulopati,Bröstryggsbesvär,L T7 Radikulopati
L T6 Radikulopati,Laterala bukbesvär,L T11 Radikulopati
L T3 Radikulopati,Bröstryggsbesvär,R T8 Radikulopati
L T9 Radikulopati,Nedre bukbesvär,R L2 Radikulopati
R T2 Radikulopati,Bröstryggsbesvär,R T3 Radikulopati
R L2 Radikulopati,R Lumbago,R L4 Radikulopati
L C2 Radikulopati,Pannhuvudvärk,R C3 Radikulopati
R T3 Radikulopati,Bröstryggsbesvär,R T6 Radikulopati
L L2 Radikulopati,L Lumbago,L L5 Radikulopati
L L1 Radikulopati,L Laterala ljumskbesvär,L L2 Radikulopati
R T2 Radikulopati,Bröstryggsbesvär,R T6 Radikulopati
R T2 Radikulopati,Bröstryggsbesvär,L T8 Radikulopati
R L2 Radikulopati,R Adduktortendalgi,R S2 Radikulopati
L C3 Radikulopati,Nackbesvär,R C6 Radikulopati
L C2 Radikulopati,L Nackbesvär,L C4 Radikulopati
L T8 Radikulopati,Laterala bukbesvär,L T11 Radikulopati
L T9 Radikulopati,Laterala bukbesvär,L T11 Radikulopati
L L3 Radikulopati,L Lumbago,L S1 Radikulopati
L T7 Radikulopati,Laterala bukbesvär,L T11 Radikulopati
L L4 Radikulopati,L Lårbesvär,L S1 Radikulopati
L C3 Radikulopati,Svalgbesvär,R C3 Radikulopati
L C4 Radikulopati,Nackbesvär,L C6 Radikulopati
L T9 Radikulopati,Nedre bukbesvär,L T11 Radikulopati
L C6 Radikulopati,L Skulderbesvär,L C8 Radikulopati
L L2 Radikulopati,Centrala Ljumskbesvär,R L2 Radikulopati
L T9 Radikulopati,Nedre bukbesvär,L L2 Radikulopati
R C4 Radikulopati,R Axelbesvär,R C8 Radikulopati
L T8 Radikulopati,Bröstryggsbesvär,R T10 Radikulopati
L T3 Radikulopati,Bröstryggsbesvär,R T6 Radikulopati
R C6 Radikulopati,R Skulderbesvär,R C8 Radikulopati
R C4 Radikulopati,Nackbesvär,R C5 Radikulopati
R T9 Radikulopati,Nedre bukbesvär,L L1 Radikulopati
L T6 Radikulopati,Bröstryggsbesvär,R T8 Radikulopati
L T3 Radikulopati,Torakal Dysfunktion,L T6 Radikulopati
L C2 Radikulopati,Munbesvär,L C3 Radikulopati
L T11 Radikulopati,Laterala bukbesvär,L L1 Radikulopati
R C7 Radikulopati,R Armbågsbesvär,R C8 Radikulopati
R C6 Radikulopati,Nackbesvär,L C7 Radikulopati
L T6 Radikulopati,Bröstryggsbesvär,L T7 Radikulopati
R C6 Radikulopati,R Handledsbesvär,R C7 Radikulopati
R T2 Radikulopati,Bröstryggsbesvär,R T5 Radikulopati
L T6 Radikulopati,Laterala bukbesvär,L T12 Radikulopati
R C4 Radikulopati,R Främre Axelbesvär,R C5 Radikulopati
L T3 Radikulopati,Bröstbesvär,R T5 Radikulopati
L L4 Radikulopati,L Laterala vadbesvär,L S1 Radikulopati
L C3 Radikulopati,Nackbesvär,L C6 Radikulopati
R T4 Radikulopati,Bröstryggsbesvär,R T9 Radikulopati
R C3 Radikulopati,Central bröstsmärta,R C4 Radikulopati
L T3 Radikulopati,Bröstryggsbesvär,R T5 Radikulopati
R L2 Radikulopati,Ryggsbesvär,R L4 Radikulopati
R L2 Radikulopati,R Adduktortendalgi,R S1 Radikulopati
L C2 Radikulopati,Nackbesvär,L C7 Radikulopati
L C2 Radikulopati,Svalgbesvär,R C3 Radikulopati
R T8 Radikulopati,Bröstryggsbesvär,R T9 Radikulopati
R C2 Radikulopati,Nackbesvär,R C6 Radikulopati
R T5 Radikulopati,Torakal Dysfunktion,L T6 Radikulopati
L L4 Radikulopati,L Benbesvär,L S1 Radikulopati
R C3 Radikulopati,Nackbesvär,L C6 Radikulopati
L C4 Radikulopati,L Skulderbesvär,L C7 Radikulopati
R T2 Radikulopati,Bröstryggsbesvär,R T4 Radikulopati
L L4 Radikulopati,Lumbago,L L5 Radikulopati
L C3 Radikulopati,Nackbesvär,L C7 Radikulopati
L L5 Radikulopati,Lumbago,L S1 Radikulopati
L L5 Radikulopati,L Lårbesvär,L S1 Radikulopati
R C6 Radikulopati,R Under armsbesvär,R C7 Radikulopati
L L5 Radikulopati,L Ischias,L S1 Radikulopati
L T6 Radikulopati,Övre bukbesvär,R T6 Radikulopati
L T12 Radikulopati,Nedre bukbesvär,L L1 Radikulopati
R L4 Radikulopati,R Benbesvär,R S1 Radikulopati
L C6 Radikulopati,Nackbesvär,L C7 Radikulopati
R L1 Radikulopati,R Adduktortendalgi,R L2 Radikulopati
L L1 Radikulopati,Laterala bukbesvär,L L2 Radikulopati
R C2 Radikulopati,Nackbesvär,L C6 Radikulopati
R T10 Radikulopati,Nedre bukbesvär,L T11 Radikulopati
R L5 Radikulopati,R Ischias,R S2 Radikulopati
L T6 Radikulopati,Övre bukbesvär,L T8 Radikulopati
R C2 Radikulopati,Svalgbesvär,R C3 Radikulopati
L T7 Radikulopati,Bröstryggsbesvär,R T9 Radikulopati
L T6 Radikulopati,Laterala bukbesvär,L T8 Radikulopati
R T6 Radikulopati,Övre bukbesvär,L T8 Radikulopati
R C7 Radikulopati,R Handbesvär,R C8 Radikulopati
L L5 Radikulopati,L Skinkbesvär,L S1 Radikulopati
R T12 Radikulopati,Nedre bukbesvär,R L2 Radikulopati
L C4 Radikulopati,L Skulderbesvär,L C5 Radikulopati
L T3 Radikulopati,Torakal Dysfunktion,L T7 Radikulopati
R T12 Radikulopati,Nedre bukbesvär,L L1 Radikulopati
L L3 Radikulopati,Lumbago,L S1 Radikulopati
