Confounder,Target1,Target2
R S1 Radikulopati,R Lårbesvär,Hälbesvär
R L5 Radikulopati,R Lårbesvär,R Höftkamsbesvär
R S1 Radikulopati,R Benbesvär,R Dorsala knäledsbesvär
R L5 Radikulopati,R Knäbesvär,R Fotvalvsbesvär
R L5 Radikulopati,R Lårbesvär,R Vadbesvär
R S1 Radikulopati,R Bakre lårbesvär,R Achillodyni
R S1 Radikulopati,R Lumbago,R Achillesbesvär
R S1 Radikulopati,Ryggsbesvär,R Skinkbesvär
L C6 Radikulopati,L Nackbesvär,L Handledsbesvär
L S1 Radikulopati,L Laterala vadbesvär,L Ischias
R C7 Radikulopati,Nackbesvär,R Nackbesvär
R S1 Radikulopati,R Dorsala knäledsbesvär,R Laterala Fotbesvär
R L4 Radikulopati,R Benbesvär,R Höftbesvär
R C3 Radikulopati,Svalgbesvär,R Käkbesvär
R L5 Radikulopati,R Lårbesvär,R Höftbesvär
R L5 Radikulopati,R Mediala knäledsbesvär,R Knäbesvär
R L5 Radikulopati,R Lårbesvär,R Fotbesvär
R S1 Radikulopati,R Ischias,R Laterala Fotbesvär
R C6 Radikulopati,R Tumbesvär,R Handledsbesvär
R S1 Radikulopati,R Lumbago,R Achillodyni
R C7 Radikulopati,R Armbågsbesvär,R Armbesvär
L L5 Radikulopati,L Höftkamsbesvär,L Fotbesvär
R L5 Radikulopati,R Tåledbesvär,R Ischias
R L5 Radikulopati,R Fotvalvsbesvär,R Tåledbesvär
L L1 Radikulopati,L Mediala ljumskbesvär,L Nedre bukbesvär
R S1 Radikulopati,R Knäbesvär,R Skinkbesvär
L L2 Radikulopati,L Laterala ljumskbesvär,L Höftbesvär
L S1 Radikulopati,L Hälbesvär,L Achillesbesvär
R C5 Radikulopati,Nackbesvär,R Nackbesvär
DLS C8-T1,L T1 Radikulopati,R T1 Radikulopati
R L4 Radikulopati,R Höftkamsbesvär,R Tibiaperialgi
L L5 Radikulopati,L Höftkamsbesvär,L Stortårbesvär
L S1 Radikulopati,L Lilltåbesvär,L Bakre lårbesvär
R C6 Radikulopati,R Främre Axelbesvär,R Axelbesvär
R C8 Radikulopati,R Axelbesvär,R Mediala armbågsbesvär
R L5 Radikulopati,R Mediala knäledsbesvär,R Ischias
L C2 Radikulopati,Pannhuvudvärk,Svalgbesvär
L S1 Radikulopati,L Laterala vadbesvär,L Achillodyni
L L5 Radikulopati,L Benbesvär,L Fotbesvär
Kraniocervikal ledskada,R C2 Radikulopati,R C4 Radikulopati
R S1 Radikulopati,R Skinkbesvär,R Tårbesvär
L L5 Radikulopati,L Lumbago,L Ischias
L L5 Radikulopati,L PFS,L Laterala vadbesvär
L L2 Radikulopati,L Lumbago,Laterala bukbesvär
R C6 Radikulopati,R Skulderbesvär,R Laterala armbågsbesvär
R L4 Radikulopati,R Mediala knäledsbesvär,R Knäbesvär
R L5 Radikulopati,R Främre knäbesvär,R Skinkbesvär
R C7 Radikulopati,R Under armsbesvär,R Mediala armbågsbesvär
L L5 Radikulopati,L Mediala knäledsbesvär,L Fotledsbesvär
L L2 Radikulopati,L Höftbesvär,Lumbago
R C6 Radikulopati,R Nackbesvär,R Handbesvär
R C8 Radikulopati,R Skulderbesvär,R Armbesvär
R C6 Radikulopati,R Främre Axelbesvär,R Laterala armbågsbesvär
R C7 Radikulopati,Nackbesvär,R Armbesvär
R L5 Radikulopati,Ryggsbesvär,R Lårbesvär
R L4 Radikulopati,Ryggsbesvär,R Mediala knäledsbesvär
R C6 Radikulopati,R Interskapulära besvär,R Handbesvär
L T4 Radikulopati,Bröstryggsbesvär,Torakal Dysfunktion
R L5 Radikulopati,R Höftbesvär,R Fotledsbesvär
R C4 Radikulopati,Central bröstsmärta,R Skulderbesvär
R C3 Radikulopati,Nackbesvär,R Bakhuvudvärk
R C6 Radikulopati,R Interskapulära besvär,R Handledsbesvär
R C6 Radikulopati,R Armbågsbesvär,R Handbesvär
R C2 Radikulopati,R Nackbesvär,R Öronbesvär
R C8 Radikulopati,R Armbågsbesvär,R Armvecksbesvär
L T6 Radikulopati,Bröstryggsbesvär,Övre bukbesvär
R C6 Radikulopati,Nackbesvär,R Tumbesvär
L S1 Radikulopati,L Benbesvär,L Skinkbesvär
L L5 Radikulopati,L Fotbesvär,L Vadbesvär
L L4 Radikulopati,L Laterala vadbesvär,L Knäbesvär
L L4 Radikulopati,L Benbesvär,L Laterala vadbesvär
R C5 Radikulopati,R Axel impingement,R Armbågsbesvär
R S1 Radikulopati,R Benbesvär,R Tårbesvär
L S1 Radikulopati,L Lumbago,L Ischias
R C6 Radikulopati,Nackbesvär,R Handledsbesvär
L C4 Radikulopati,Nackbesvär,L Skulderbesvär
L C2 Radikulopati,L Käkbesvär,Svalgbesvär
R T4 Radikulopati,Bröstbesvär,R Bröstbesvär
L L5 Radikulopati,L Lårbesvär,L Ischias
R L5 Radikulopati,R Lumbago,R Höftkamsbesvär
L S1 Radikulopati,L Hälbesvär,L Achillodyni
R C4 Radikulopati,Nackbesvär,R Främre Axelbesvär
L L5 Radikulopati,L Benbesvär,L Mediala knäledsbesvär
L L2 Radikulopati,L Ljumskbesvär,L Adduktortendalgi
L C6 Radikulopati,L Axelbesvär,L Skulderbesvär
L C6 Radikulopati,Interskapulära besvär,L Interskapulära besvär
R C7 Radikulopati,Nackbesvär,R Handbesvär
L S1 Radikulopati,L Dorsala knäledsbesvär,L Achillodyni
L C3 Radikulopati,Pannhuvudvärk,Svalgbesvär
