Source,Target,Result
DLS C1-C2,L C2 Radikulopati,True
DLS C1-C2,R C2 Radikulopati,True
L C2 Radikulopati,L Nackbesvär,True
L C2 Radikulopati,Nackbesvär,True
L C2 Radikulopati,L Tinnitus,True
L C2 Radikulopati,L Ögonbesvär,True
L C2 Radikulopati,L Öronbesvär,True
L C2 Radikulopati,Huvudvärk,True
L C2 Radikulopati,L Käkbesvär,True
L C2 Radikulopati,L Pannhuvudvärk,True
L C2 Radikulopati,Munbesvär,True
L C2 Radikulopati,Pannhuvudvärk,True
L C2 Radikulopati,Svalgbesvär,True
R C2 Radikulopati,Nackbesvär,True
R C2 Radikulopati,R Nackbesvär,True
R C2 Radikulopati,R Tinnitus,True
R C2 Radikulopati,R Ögonbesvär,True
R C2 Radikulopati,R Öronbesvär,True
R C2 Radikulopati,Huvudvärk,True
R C2 Radikulopati,Munbesvär,True
R C2 Radikulopati,Pannhuvudvärk,True
R C2 Radikulopati,R Pannhuvudvärk,True
R C2 Radikulopati,Svalgbesvär,True
R C2 Radikulopati,R Käkbesvär,True
DLS C2-C3,L C3 Radikulopati,True
DLS C2-C3,R C3 Radikulopati,True
L C3 Radikulopati,L Nackbesvär,True
L C3 Radikulopati,Nackbesvär,True
L C3 Radikulopati,L Pannhuvudvärk,True
L C3 Radikulopati,Munbesvär,True
L C3 Radikulopati,Pannhuvudvärk,True
L C3 Radikulopati,Svalgbesvär,True
L C3 Radikulopati,Bakhuvudvärk,True
L C3 Radikulopati,L Nyckelbensbesvär,True
L C3 Radikulopati,Central bröstsmärta,True
L C3 Radikulopati,L Central bröstsmärta,True
L C3 Radikulopati,L Centrala bröstbesvär,True
R C3 Radikulopati,Nackbesvär,True
R C3 Radikulopati,R Nackbesvär,True
R C3 Radikulopati,Munbesvär,True
R C3 Radikulopati,Pannhuvudvärk,True
R C3 Radikulopati,R Pannhuvudvärk,True
R C3 Radikulopati,Svalgbesvär,True
R C3 Radikulopati,R Käkbesvär,True
R C3 Radikulopati,Bakhuvudvärk,True
R C3 Radikulopati,R Bakhuvudvärk,True
R C3 Radikulopati,R Nyckelbensbesvär,True
R C3 Radikulopati,Central bröstsmärta,True
DLS C3-C4,L C4 Radikulopati,True
DLS C3-C4,R C4 Radikulopati,True
L C4 Radikulopati,L Nackbesvär,True
L C4 Radikulopati,Nackbesvär,True
L C4 Radikulopati,L Nyckelbensbesvär,True
L C4 Radikulopati,Central bröstsmärta,True
L C4 Radikulopati,L Central bröstsmärta,True
L C4 Radikulopati,L Centrala bröstbesvär,True
L C4 Radikulopati,L Axel impingement,True
L C4 Radikulopati,L Axelbesvär,True
L C4 Radikulopati,L Skulderbesvär,True
R C4 Radikulopati,Nackbesvär,True
R C4 Radikulopati,R Nackbesvär,True
R C4 Radikulopati,R Nyckelbensbesvär,True
R C4 Radikulopati,Central bröstsmärta,True
R C4 Radikulopati,R Främre Axelbesvär,True
