Source,Target
DLS C1-C2,R C2 Radikulopati
L C2 Radikulopati,L Nackbesvär
L C2 Radikulopati,Nackbesvär
L C2 Radikulopati,Huvudvärk
L C2 Radikulopati,L Käkbesvär
L C2 Radikulopati,Munbesvär
L C2 Radikulopati,Pannhuvudvärk
L C2 Radikulopati,Svalgbesvär
R C2 Radikulopati,Nackbesvär
R C2 Radikulopati,R Nackbesvär
R C2 Radikulopati,R Ögonbesvär
R C2 Radikulopati,R Öronbesvär
R C2 Radikulopati,Huvudvärk
R C2 Radikulopati,Munbesvär
R C2 Radikulopati,Pannhuvudvärk
R C2 Radikulopati,R Pannhuvudvärk
R C2 Radikulopati,Svalgbesvär
R C2 Radikulopati,R Käkbesvär
DLS C2-C3,L C3 Radikulopati
DLS C2-C3,R C3 Radikulopati
L C3 Radikulopati,Nackbesvär
L C3 Radikulopati,Munbesvär
L C3 Radikulopati,Pannhuvudvärk
L C3 Radikulopati,Svalgbesvär
L C3 Radikulopati,Bakhuvudvärk
L C3 Radikulopati,L Central bröstsmärta
R C3 Radikulopati,Nackbesvär
R C3 Radikulopati,R Nackbesvär
R C3 Radikulopati,Munbesvär
R C3 Radikulopati,Pannhuvudvärk
R C3 Radikulopati,R Pannhuvudvärk
R C3 Radikulopati,Svalgbesvär
R C3 Radikulopati,R Käkbesvär
R C3 Radikulopati,Bakhuvudvärk
R C3 Radikulopati,R Bakhuvudvärk
R C3 Radikulopati,R Nyckelbensbesvär
R C3 Radikulopati,Central bröstsmärta
DLS C3-C4,L C4 Radikulopati
DLS C3-C4,R C4 Radikulopati
L C4 Radikulopati,L Nackbesvär
L C4 Radikulopati,Nackbesvär
L C4 Radikulopati,L Nyckelbensbesvär
L C4 Radikulopati,L Central bröstsmärta
L C4 Radikulopati,L Axelbesvär
L C4 Radikulopati,L Skulderbesvär
R C4 Radikulopati,Nackbesvär
R C4 Radikulopati,R Nackbesvär
R C4 Radikulopati,R Nyckelbensbesvär
R C4 Radikulopati,Central bröstsmärta
R C4 Radikulopati,R Främre Axelbesvär
R C4 Radikulopati,R Axel impingement
R C4 Radikulopati,R Axelbesvär
R C4 Radikulopati,R Skulderbesvär
DLS C4-C5,L C5 Radikulopati
DLS C4-C5,R C5 Radikulopati
L C5 Radikulopati,Nackbesvär
L C5 Radikulopati,L Skulderbesvär
L C5 Radikulopati,Interskapulära besvär
L C5 Radikulopati,L Interskapulära besvär
R C5 Radikulopati,Nackbesvär
R C5 Radikulopati,R Nackbesvär
R C5 Radikulopati,R Främre Axelbesvär
R C5 Radikulopati,R Axel impingement
R C5 Radikulopati,R Axelbesvär
R C5 Radikulopati,R Skulderbesvär
R C5 Radikulopati,Interskapulära besvär
R C5 Radikulopati,R Interskapulära besvär
R C5 Radikulopati,R Laterala armbågsbesvär
R C5 Radikulopati,R Armbågsbesvär
DLS C5-C6,L C6 Radikulopati
DLS C5-C6,R C6 Radikulopati
L C6 Radikulopati,L Nackbesvär
L C6 Radikulopati,Nackbesvär
L C6 Radikulopati,L Axelbesvär
