prompt,answer,response,correct
"Use your causal reasoning ability to only answer yes or no for the following question based on the given information.

Given Info: The overall probability of the camper lighting a match is 20%. For campers who do not light a match, the probability of the forest on fire is 32%. For campers who light a match, the probability of the forest on fire is 71%.
Question: Is the forest on fire more likely than the forest not on fire overall?",no,no,True
"Use your causal reasoning ability to only answer yes or no for the following question based on the given information.

Given Info: The overall probability of kindness is 45%. For people with mean personalities and single people, the probability of attractive appearance is 4%. For people with mean personalities and in a relationship, the probability of attractive appearance is 13%. For people with kind personalities and single people, the probability of attractive appearance is 3%. For people with kind personalities and in a relationship, the probability of attractive appearance is 26%.
Question: If we look at people in a relationship, does the chance of attractive appearance decrease when kindness?",no,no,True
"Use your causal reasoning ability to only answer yes or no for the following question based on the given information.

Given Info: The overall probability of respiratory issues is 57%. The probability of no respiratory issues and broken bones is 4%. The probability of respiratory issues and broken bones is 6%.
Question: Is the chance of broken bones larger when observing respiratory issues?",no,yes,False
"Use your causal reasoning ability to only answer yes or no for the following question based on the given information.

Given Info: The overall probability of male gender is 81%. For individuals who are not male, the probability of admission acceptance is 53%. For individuals who are male, the probability of admission acceptance is 53%.
Question: Is admission acceptance less likely than admission rejection overall?",no,yes,False
"Use your causal reasoning ability to only answer yes or no for the following question based on the given information.

Given Info: The overall probability of talent is 41%. For students who are not talented and rejected from elite institutions, the probability of being hard-working is 39%. For students who are not talented and accepted to elite institutions, the probability of being hard-working is 69%. For students who are talented and rejected from elite institutions, the probability of being hard-working is 29%. For students who are talented and accepted to elite institutions, the probability of being hard-working is 61%.
Question: If we look at students accepted to elite institutions, does the chance of being hard-working decrease when talent?",yes,yes,True
"Use your causal reasoning ability to only answer yes or no for the following question based on the given information.

Given Info: The overall probability of intelligent parents is 55%. The probability of unintelligent parents and intelligent child is 11%. The probability of intelligent parents and intelligent child is 23%.
Question: Is the chance of intelligent child smaller when observing intelligent parents?",no,yes,False
"Use your causal reasoning ability to only answer yes or no for the following question based on the given information.

Given Info: The overall probability of talent is 17%. For students who are not talented and rejected from elite institutions, the probability of being hard-working is 1%. For students who are not talented and accepted to elite institutions, the probability of being hard-working is 13%. For students who are talented and rejected from elite institutions, the probability of being hard-working is 1%. For students who are talented and accepted to elite institutions, the probability of being hard-working is 4%.
Question: If we look at students accepted to elite institutions, does the chance of being hard-working decrease when talent?",yes,yes,True
"Use your causal reasoning ability to only answer yes or no for the following question based on the given information.

Given Info: The overall probability of rainy season is 16%. For people in the dry season, the probability of wet ground is 36%. For in the rainy season, the probability of wet ground is 46%.
Question: Is wet ground less likely than dry ground overall?",yes,yes,True
"Use your causal reasoning ability to only answer yes or no for the following question based on the given information.

Given Info: The overall probability of college degree or higher is 52%. For people without a college degree, the probability of high salary is 15%. For people with a college degree or higher, the probability of high salary is 61%.
Question: Is high salary more likely than low salary overall?",no,no,True
"Use your causal reasoning ability to only answer yes or no for the following question based on the given information.

Given Info: The overall probability of respiratory issues is 57%. For people with no respiratory issues, the probability of broken bones is 10%. For people with respiratory issues, the probability of broken bones is 10%.
Question: Is broken bones less likely than no broken bones overall?",yes,yes,True
"Use your causal reasoning ability to only answer yes or no for the following question based on the given information.

Given Info: The overall probability of smoking mother is 2%. The probability of nonsmoking mother and high infant mortality is 37%. The probability of smoking mother and high infant mortality is 1%.
Question: Is the chance of high infant mortality larger when observing smoking mother?",yes,yes,True
"Use your causal reasoning ability to only answer yes or no for the following question based on the given information.

Given Info: The overall probability of smoking is 3%. For nonsmokers, the probability of lung cancer is 23%. For smokers, the probability of lung cancer is 39%.
Question: Is lung cancer less likely than absence of lung cancer overall?",yes,yes,True
"Use your causal reasoning ability to only answer yes or no for the following question based on the given information.

Given Info: The overall probability of college degree or higher is 51%. For people without a college degree, the probability of high salary is 38%. For people with a college degree or higher, the probability of high salary is 66%.
Question: Is high salary less likely than low salary overall?",no,yes,False
"Use your causal reasoning ability to only answer yes or no for the following question based on the given information.

Given Info: The overall probability of college degree or higher is 51%. For people without a college degree, the probability of high salary is 38%. For people with a college degree or higher, the probability of high salary is 66%.
Question: Is high salary more likely than low salary overall?",yes,no,False
"Use your causal reasoning ability to only answer yes or no for the following question based on the given information.

Given Info: The overall probability of talent is 41%. The probability of lack of talent and being hard-working is 32%. The probability of talent and being hard-working is 22%.
Question: Is the chance of being hard-working larger when observing talent?",no,yes,False
"Use your causal reasoning ability to only answer yes or no for the following question based on the given information.

Given Info: The overall probability of tanning salon treatment is 9%. For people not using tanning salon treatments, the probability of tanned skin is 24%. For people who went to tanning salons, the probability of tanned skin is 74%.
Question: Is tanned skin less likely than pale skin overall?",yes,yes,True
